                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86949,                 1.8092,                  1.506,                0.70429,                0.92356,                0.87752,                0.67631,                0.72038,                 3.2676,                 1.1374,                0.00048,                0.00048,                0.00048
                      2,                0.45071,                0.61915,                 1.1387,                0.59264,                0.83673,                0.70808,                0.46516,                  1.274,                 1.8062,                 1.5607,              0.0009606,              0.0009606,              0.0009606
                      3,                0.45471,                0.56543,                 1.1365,                0.34448,                0.06122,                0.04587,                0.01705,                 5.2975,                 4.8704,                 5.1238,              0.0014214,              0.0014214,              0.0014214
                      4,                0.45099,                0.58548,                 1.1286,                0.93548,                0.59184,                0.76729,                0.55307,                 1.0408,                 4.2021,                 1.2958,              0.0018624,              0.0018624,              0.0018624
                      5,                0.43547,                0.49111,                 1.1144,                0.22732,                0.44898,                0.18448,                 0.1026,                 1.6522,                 3.2578,                 1.8887,              0.0018416,              0.0018416,              0.0018416
                      6,                0.46259,                0.49472,                 1.1337,                0.40499,                0.55102,                0.45305,                0.29642,                 1.3877,                 2.3998,                   1.51,              0.0018416,              0.0018416,              0.0018416
                      7,                0.38831,                0.46162,                 1.0878,                0.84157,                0.89796,                0.91558,                0.62925,                0.88813,                 1.0886,                 1.0907,               0.001802,               0.001802,               0.001802
                      8,                0.40809,                 0.4449,                 1.0828,                0.75135,                0.92509,                0.93049,                0.76781,                0.75572,                 1.2378,                 1.0452,              0.0017624,              0.0017624,              0.0017624
                      9,                0.35698,                0.38449,                 1.0685,                0.84815,                0.91199,                0.92789,                0.90783,                0.45379,                0.99247,                0.71629,              0.0017228,              0.0017228,              0.0017228
                     10,                 0.3398,                0.38353,                 1.0337,                0.68139,                0.65471,                0.74501,                0.72907,                 0.3968,                 1.0518,                0.55667,              0.0016832,              0.0016832,              0.0016832
                     11,                0.34434,                 0.3759,                   1.04,                0.92149,                0.95918,                0.96524,                0.81346,                0.63873,                0.86651,                0.78404,              0.0016436,              0.0016436,              0.0016436
                     12,                0.33209,                0.38997,                 1.0438,                0.96916,                      1,                 0.9934,                0.95572,                0.48532,                0.63714,                0.74779,               0.001604,               0.001604,               0.001604
                     13,                0.28465,                0.33728,                 1.0093,                0.98791,                      1,                  0.995,                0.88706,                 0.5771,                0.63132,                0.71386,              0.0015644,              0.0015644,              0.0015644
                     14,                0.29333,                0.32875,                 1.0081,                0.99884,                      1,                  0.995,                0.99245,                0.28118,                0.26091,                0.45423,              0.0015248,              0.0015248,              0.0015248
                     15,                0.26732,                0.32111,                0.99466,                 0.9739,                0.97959,                0.99422,                0.99236,                0.34934,                0.39733,                0.51194,              0.0014852,              0.0014852,              0.0014852
                     16,                0.27886,                0.32897,                  1.007,                0.92162,                0.95994,                0.98203,                 0.9698,                0.22312,                0.46716,                0.34475,              0.0014456,              0.0014456,              0.0014456
                     17,                0.27541,                 0.3146,                 1.0091,                0.97585,                0.97959,                0.99241,                0.96718,                0.22339,                 0.6007,                0.35185,               0.001406,               0.001406,               0.001406
                     18,                0.24724,                0.30019,                0.98426,                0.99755,                      1,                  0.995,                0.97822,                0.32808,                0.43643,                0.49644,              0.0013664,              0.0013664,              0.0013664
                     19,                0.22734,                0.27757,                0.97469,                0.99872,                      1,                  0.995,                0.95593,                0.62224,                0.83411,                0.87535,              0.0013268,              0.0013268,              0.0013268
                     20,                0.25034,                  0.296,                0.97931,                0.99909,                      1,                  0.995,                0.99364,                0.17249,                0.24307,                0.30688,              0.0012872,              0.0012872,              0.0012872
                     21,                0.22426,                0.27272,                0.97409,                0.99893,                      1,                  0.995,                  0.995,                0.20069,                0.21985,                0.36414,              0.0012476,              0.0012476,              0.0012476
                     22,                0.20605,                0.25432,                0.94868,                0.97807,                      1,                 0.9942,                0.96715,                0.31339,                0.40464,                0.51018,               0.001208,               0.001208,               0.001208
                     23,                0.22037,                0.25683,                0.97478,                0.99773,                      1,                  0.995,                0.97756,                0.20756,                0.33403,                0.36176,              0.0011684,              0.0011684,              0.0011684
                     24,                0.19958,                0.23759,                0.95479,                0.87249,                0.97752,                0.96963,                0.94485,                   0.22,                0.56246,                0.37218,              0.0011288,              0.0011288,              0.0011288
                     25,                 0.1799,                0.22359,                 0.9411,                0.99895,                      1,                  0.995,                  0.995,                0.25627,                 0.3989,                0.39656,              0.0010892,              0.0010892,              0.0010892
                     26,                0.17638,                0.22997,                0.94231,                0.99885,                      1,                  0.995,                  0.995,                0.15805,                0.21156,                 0.2627,              0.0010496,              0.0010496,              0.0010496
                     27,                 0.1896,                0.23487,                0.95121,                0.99077,                      1,                  0.995,                  0.995,                0.18584,                0.23828,                 0.3098,                0.00101,                0.00101,                0.00101
                     28,                0.17823,                0.22708,                0.93804,                0.99894,                      1,                  0.995,                  0.995,                 0.2344,                0.20622,                0.37363,              0.0009704,              0.0009704,              0.0009704
                     29,                0.18143,                0.23637,                0.93599,                0.99877,                      1,                  0.995,                  0.995,                0.24809,                0.21979,                0.38657,              0.0009308,              0.0009308,              0.0009308
                     30,                0.17068,                0.22128,                0.94492,                0.99865,                      1,                  0.995,                0.98734,                0.26482,                0.28135,                0.42547,              0.0008912,              0.0008912,              0.0008912
                     31,                0.15957,                0.21476,                0.94383,                0.99892,                      1,                  0.995,                  0.995,                0.17921,                0.21891,                0.31741,              0.0008516,              0.0008516,              0.0008516
                     32,                0.17364,                0.22215,                0.95514,                0.99896,                      1,                  0.995,                  0.995,                0.22456,                0.24641,                0.36865,               0.000812,               0.000812,               0.000812
                     33,                0.15568,                0.20833,                0.92843,                0.99896,                      1,                  0.995,                  0.995,                0.18522,                0.29047,                0.31143,              0.0007724,              0.0007724,              0.0007724
                     34,                0.15075,                0.20509,                0.93354,                0.99896,                      1,                  0.995,                  0.995,                0.20316,                0.27655,                0.34642,              0.0007328,              0.0007328,              0.0007328
                     35,                0.15289,                0.20128,                0.92949,                0.99895,                      1,                  0.995,                  0.995,                0.13765,                0.20881,                0.25756,              0.0006932,              0.0006932,              0.0006932
                     36,                0.14902,                0.19851,                0.92873,                0.99898,                      1,                  0.995,                  0.995,                0.21367,                0.26942,                0.33382,              0.0006536,              0.0006536,              0.0006536
                     37,                0.13895,                0.18753,                0.92773,                0.99898,                      1,                  0.995,                  0.995,                 0.1433,                0.18204,                0.27846,               0.000614,               0.000614,               0.000614
                     38,                0.13732,                0.18385,                0.92372,                0.99896,                      1,                  0.995,                  0.995,                0.09915,                0.18094,                0.22547,              0.0005744,              0.0005744,              0.0005744
                     39,                 0.1435,                0.20046,                0.93732,                0.99894,                      1,                  0.995,                  0.995,                 0.1385,                0.19086,                0.27378,              0.0005348,              0.0005348,              0.0005348
                     40,                0.12011,                0.17468,                0.92537,                      1,                      1,                  0.995,                  0.995,                0.16582,                0.20695,                   0.28,              0.0004952,              0.0004952,              0.0004952
                     41,                0.09003,                0.38508,                0.92606,                0.99896,                      1,                  0.995,                  0.995,                0.14798,                0.24005,                0.24281,              0.0004556,              0.0004556,              0.0004556
                     42,                0.07349,                0.10804,                0.91989,                      1,                      1,                  0.995,                  0.995,                0.13814,                0.29591,                0.22064,               0.000416,               0.000416,               0.000416
                     43,                0.06945,                0.10095,                0.91289,                0.99899,                      1,                  0.995,                  0.995,                0.14774,                0.24494,                 0.2347,              0.0003764,              0.0003764,              0.0003764
                     44,                0.06011,                0.09251,                0.90933,                0.99899,                      1,                  0.995,                  0.995,                0.08823,                0.17572,                0.16462,              0.0003368,              0.0003368,              0.0003368
                     45,                0.05536,                0.08463,                0.91655,                0.99899,                      1,                  0.995,                  0.995,                0.10072,                0.18517,                0.17431,              0.0002972,              0.0002972,              0.0002972
                     46,                0.05702,                0.07898,                0.90543,                0.99899,                      1,                  0.995,                  0.995,                0.10992,                 0.2534,                0.18625,              0.0002576,              0.0002576,              0.0002576
                     47,                0.04864,                0.07558,                0.90341,                0.99899,                      1,                  0.995,                  0.995,                0.11534,                0.23947,                0.19154,               0.000218,               0.000218,               0.000218
                     48,                 0.0467,                0.06602,                0.91591,                0.99899,                      1,                  0.995,                  0.995,                0.10391,                0.23884,                0.17997,              0.0001784,              0.0001784,              0.0001784
                     49,                0.04289,                0.06449,                  0.891,                      1,                      1,                  0.995,                  0.995,                0.08705,                0.24312,                0.16341,              0.0001388,              0.0001388,              0.0001388
                     50,                0.04576,                0.06571,                0.91167,                      1,                      1,                  0.995,                  0.995,                0.09125,                0.20037,                0.16805,               9.92e-05,               9.92e-05,               9.92e-05
