                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2292,                 4.6871,                 1.3027,                 0.1434,                   0.25,                0.08524,                0.07641,                0.43894,                  6.911,                0.85677,                0.00014,                0.00014,                0.00014
                      2,                 1.1209,                 2.4838,                 1.2442,                0.53408,                      1,                0.83539,                0.70864,                0.56557,                 5.0534,                0.92352,             0.00029406,             0.00029406,             0.00029406
                      3,                 1.2889,                 1.4735,                 1.3416,                0.21959,                      1,                0.22962,                0.20475,                0.44964,                 6.8705,                0.85844,             0.00044178,             0.00044178,             0.00044178
                      4,                   1.16,                 1.1901,                 1.2503,                0.26946,                      1,                0.27136,                0.23116,                0.59921,                 4.3445,                0.96317,             0.00058317,             0.00058317,             0.00058317
                      5,                 1.1283,                  1.067,                 1.2216,                0.70024,                0.91667,                0.96833,                 0.8232,                 0.5677,                 1.6252,                0.87809,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.3537,                 0.9948,                 1.3742,                0.83354,                   0.75,                0.82244,                0.74099,                0.50152,                 1.8788,                0.89723,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.2286,                0.90419,                 1.3499,                0.78862,                      1,                0.97577,                0.89035,                0.52155,                 1.4029,                 0.8663,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.1508,                0.73722,                 1.2967,                0.84705,                 0.9235,                0.98357,                0.86313,                0.52156,                0.62048,                0.88677,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.1177,                0.69688,                 1.2174,                0.97721,                0.83333,                0.90235,                0.59092,                0.75609,                 1.3841,                 1.0623,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.2847,                0.80669,                 1.3754,                0.70008,                0.97368,                0.88905,                0.52255,                 1.2424,                0.96411,                 1.3268,              0.0012984,              0.0012984,              0.0012984
                     11,                 1.1438,                0.65009,                 1.2429,                0.87485,                0.58263,                0.77313,                0.59872,                0.94192,                 1.2234,                 1.1217,              0.0013955,              0.0013955,              0.0013955
                     12,                 1.4625,                0.99272,                 1.4875,                0.42607,                   0.75,                0.50833,                0.30254,                 1.2445,                 1.6669,                 1.2699,              0.0014862,              0.0014862,              0.0014862
                     13,                 1.2729,                0.70129,                 1.3137,                0.53093,                0.41667,                0.41092,                0.14974,                 2.7708,                  2.251,                 2.5711,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0998,                0.74836,                 1.2671,                0.10182,                   0.25,                0.04306,                0.02412,                 2.5175,                 10.239,                 2.3771,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.1058,                0.83921,                   1.26,                0.00088,                0.16667,                0.00061,                0.00011,                 3.6934,                 81.721,                 4.7462,              0.0014852,              0.0014852,              0.0014852
                     16,                  1.122,                0.63687,                 1.1847,                0.00088,                0.16667,                0.00061,                0.00011,                  2.395,                   2017,                 64.328,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.0656,                0.69689,                 1.1897,                0.00088,                0.16667,                0.00061,                0.00011,                 5.0671,                 234.27,                 51.212,               0.001406,               0.001406,               0.001406
                     18,                 1.0965,                0.61601,                   1.23,                0.00088,                0.16667,                0.00061,                0.00011,                 3.5031,                 17.026,                  13.14,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.0638,                0.68052,                 1.2356,                0.00088,                0.16667,                0.00061,                0.00011,                 3.3476,                  12.41,                 13.058,              0.0013268,              0.0013268,              0.0013268
                     20,                  1.134,                0.65886,                 1.2681,                0.00115,                0.08333,                0.00108,                0.00086,                 3.1224,                 5.9831,                 8.0813,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.1393,                0.62307,                 1.2524,                0.73668,                0.08333,                0.10299,                0.08906,                 2.0519,                 4.4695,                  2.894,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1209,                0.59525,                 1.2589,                0.67015,                0.58333,                0.60283,                0.38412,                 1.2874,                 2.0723,                 1.3738,               0.001208,               0.001208,               0.001208
                     23,                  1.038,                0.55726,                 1.1504,                0.78275,                0.66667,                0.68889,                0.59546,                0.65182,                 1.1109,                0.93993,              0.0011684,              0.0011684,              0.0011684
                     24,                0.98472,                0.54022,                 1.1963,                0.99641,                0.91667,                  0.979,                0.82778,                0.65764,                0.54712,                0.93499,              0.0011288,              0.0011288,              0.0011288
                     25,                  1.011,                0.52768,                  1.206,                0.99509,                      1,                  0.995,                0.84782,                0.59537,                0.44206,                0.91416,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1421,                0.60775,                 1.3118,                0.97961,                      1,                  0.995,                0.86717,                0.51707,                0.38986,                0.89451,              0.0010496,              0.0010496,              0.0010496
                     27,                 0.9825,                0.54174,                 1.2129,                0.99096,                      1,                  0.995,                0.90281,                0.50142,                 0.3724,                0.87861,                0.00101,                0.00101,                0.00101
                     28,                 1.0154,                0.59586,                 1.1939,                0.97886,                      1,                  0.995,                0.89264,                0.39059,                 0.3488,                0.84855,              0.0009704,              0.0009704,              0.0009704
                     29,                0.95209,                 0.4931,                  1.158,                 0.9898,                      1,                  0.995,                0.91064,                0.46719,                0.33345,                0.86814,              0.0009308,              0.0009308,              0.0009308
                     30,                0.99947,                0.51276,                 1.1322,                0.99528,                      1,                  0.995,                0.93022,                0.42666,                0.27931,                 0.8637,              0.0008912,              0.0008912,              0.0008912
                     31,                0.88251,                0.48341,                 1.1662,                 0.9954,                      1,                  0.995,                0.89896,                0.44014,                0.29154,                 0.8496,              0.0008516,              0.0008516,              0.0008516
                     32,                 0.8604,                0.45685,                 1.0689,                 0.9954,                      1,                  0.995,                0.88308,                0.47207,                0.30018,                0.86246,               0.000812,               0.000812,               0.000812
                     33,                0.95542,                0.47501,                 1.1527,                0.99523,                      1,                  0.995,                0.88712,                0.53558,                0.30318,                0.87486,              0.0007724,              0.0007724,              0.0007724
                     34,                0.91022,                0.50026,                 1.1092,                0.99504,                      1,                  0.995,                0.91429,                0.51065,                 0.3282,                0.86194,              0.0007328,              0.0007328,              0.0007328
                     35,                0.87071,                0.46244,                 1.1445,                0.99515,                      1,                  0.995,                0.87392,                 0.5861,                0.32411,                0.87936,              0.0006932,              0.0006932,              0.0006932
                     36,                0.88524,                0.44595,                 1.1429,                0.99352,                      1,                  0.995,                0.89745,                0.47583,                0.28819,                0.84603,              0.0006536,              0.0006536,              0.0006536
                     37,                0.91563,                0.46818,                 1.0968,                0.99395,                      1,                  0.995,                0.85166,                 0.6111,                0.31804,                0.91794,               0.000614,               0.000614,               0.000614
                     38,                0.89175,                0.47853,                 1.1136,                0.99369,                      1,                  0.995,                0.87428,                0.62205,                0.34324,                0.91733,              0.0005744,              0.0005744,              0.0005744
                     39,                0.88905,                0.47577,                 1.1657,                 0.9949,                      1,                  0.995,                0.88802,                0.41544,                0.27016,                0.84397,              0.0005348,              0.0005348,              0.0005348
                     40,                0.80086,                0.42965,                 1.0885,                0.99524,                      1,                  0.995,                0.91042,                0.35349,                0.25319,                0.83029,              0.0004952,              0.0004952,              0.0004952
                     41,                0.81585,                0.38934,                 1.1303,                0.99458,                      1,                  0.995,                0.90813,                0.41637,                 0.2878,                0.84095,              0.0004556,              0.0004556,              0.0004556
                     42,                0.76542,                0.41296,                 1.1368,                0.99522,                      1,                  0.995,                0.90466,                0.46792,                 0.2939,                0.85681,               0.000416,               0.000416,               0.000416
                     43,                0.71562,                 0.3765,                 1.0901,                0.99522,                      1,                  0.995,                0.94875,                0.37587,                0.25228,                0.83294,              0.0003764,              0.0003764,              0.0003764
                     44,                0.70636,                0.37639,                 1.1161,                0.99513,                      1,                  0.995,                0.93857,                0.38488,                0.24251,                0.83661,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.7132,                0.38063,                 1.0851,                0.99515,                      1,                  0.995,                0.93021,                0.42165,                0.24311,                0.84862,              0.0002972,              0.0002972,              0.0002972
